model,n_estimators,learning_rate,accuracy,f1_score,recall,roc_auc,cv_recall,max_depth,min_samples_split,min_samples_leaf,subsample,min_child_weight,gamma,colsample_bytree
GradientBoosting,200,0.05,0.8740420160490487,0.8747634301869347,0.8740420160490487,0.9505249941593273,0.7498068573429112,16.0,7.0,5.0,0.8,,,
GradientBoosting,200,0.05,0.8740420160490487,0.8747634301869347,0.8740420160490487,0.9505249941593273,0.7498068573429112,16.0,10.0,5.0,0.8,,,
GradientBoosting,200,0.1,0.8733207104859796,0.873416841952442,0.8733207104859796,0.9494802585262062,0.741773780208632,18.0,7.0,5.0,0.8,,,
GradientBoosting,200,0.1,0.8733207104859796,0.873416841952442,0.8733207104859796,0.9494802585262062,0.741773780208632,18.0,10.0,5.0,0.8,,,
GradientBoosting,200,0.1,0.8729600577044451,0.8731239056564,0.8729600577044451,0.9494527799250199,0.7494205004347544,16.0,7.0,5.0,0.8,,,
GradientBoosting,200,0.1,0.8729600577044451,0.8731239056564,0.8729600577044451,0.9494527799250199,0.7494205004347544,16.0,10.0,5.0,0.8,,,
GradientBoosting,200,0.05,0.8728698945090614,0.8733692358795275,0.8728698945090614,0.9502999910625948,0.7539781373466053,18.0,7.0,5.0,0.8,,,
GradientBoosting,200,0.05,0.8728698945090614,0.8733692358795275,0.8728698945090614,0.9502999910625948,0.7539781373466053,18.0,10.0,5.0,0.8,,,
GradientBoosting,150,0.1,0.8725994049229104,0.872919582746857,0.8725994049229104,0.9496667288626447,0.750347248697079,16.0,7.0,5.0,0.8,,,
GradientBoosting,150,0.1,0.8725994049229104,0.872919582746857,0.8725994049229104,0.9496667288626447,0.750347248697079,16.0,10.0,5.0,0.8,,,
GradientBoosting,150,0.1,0.8725994049229104,0.8728419903176231,0.8725994049229104,0.9496894251680468,0.7442454191487404,18.0,7.0,5.0,0.8,,,
GradientBoosting,150,0.1,0.8725994049229104,0.8728419903176231,0.8725994049229104,0.9496894251680468,0.7442454191487404,18.0,10.0,5.0,0.8,,,
GradientBoosting,150,0.1,0.8722387521413759,0.8726916521011827,0.8722387521413759,0.9494928806511449,0.7514289084316587,16.0,7.0,5.0,1.0,,,
GradientBoosting,150,0.1,0.8722387521413759,0.8726916521011827,0.8722387521413759,0.9494928806511449,0.7514289084316587,16.0,10.0,5.0,1.0,,,
GradientBoosting,150,0.05,0.871697772969074,0.8724748777698524,0.871697772969074,0.9503951273893838,0.7535922636978075,18.0,7.0,5.0,0.8,,,
GradientBoosting,150,0.05,0.871697772969074,0.8724748777698524,0.871697772969074,0.9503951273893838,0.7535922636978075,18.0,10.0,5.0,0.8,,,
GradientBoosting,150,0.05,0.8716076097736903,0.872619154582475,0.8716076097736903,0.9503182970636705,0.7501156600732193,16.0,7.0,5.0,0.8,,,
GradientBoosting,150,0.05,0.8716076097736903,0.872619154582475,0.8716076097736903,0.9503182970636705,0.7501156600732193,16.0,10.0,5.0,0.8,,,
GradientBoosting,200,0.05,0.8716076097736903,0.8722201626094834,0.8716076097736903,0.9499491979070791,0.7515066236959603,16.0,7.0,5.0,1.0,,,
GradientBoosting,200,0.05,0.8716076097736903,0.8722201626094834,0.8716076097736903,0.9499491979070791,0.7515066236959603,16.0,10.0,5.0,1.0,,,
GradientBoosting,200,0.1,0.8713371201875394,0.8715257166542135,0.8713371201875394,0.9495663006511763,0.7499612676573125,16.0,7.0,5.0,1.0,,,
GradientBoosting,200,0.1,0.8713371201875394,0.8715257166542135,0.8713371201875394,0.9495663006511763,0.7499612676573125,16.0,10.0,5.0,1.0,,,
GradientBoosting,150,0.1,0.8705256514290867,0.8705604466145581,0.8705256514290867,0.9488029756855538,0.7483397177264187,18.0,7.0,5.0,1.0,,,
GradientBoosting,150,0.1,0.8705256514290867,0.8705604466145581,0.8705256514290867,0.9488029756855538,0.7483397177264187,18.0,10.0,5.0,1.0,,,
XGBoost,150,0.05,0.8698043458660175,0.8712840796870357,0.8698043458660175,0.9477394636616079,0.7376792847475113,18.0,,,1.0,5.0,0.0,0.8
XGBoost,200,0.05,0.8696240194752503,0.8710664788534648,0.8696240194752503,0.9480846905384239,0.7420048497761434,18.0,,,1.0,5.0,0.1,0.8
XGBoost,200,0.05,0.8696240194752503,0.8708666959401845,0.8696240194752503,0.9478017903033857,0.7444770077726003,18.0,,,1.0,3.0,0.1,0.8
GradientBoosting,200,0.1,0.8696240194752503,0.8694587903893027,0.8696240194752503,0.9484218815903563,0.7468716652866926,18.0,7.0,5.0,1.0,,,
GradientBoosting,200,0.1,0.8696240194752503,0.8694587903893027,0.8696240194752503,0.9484218815903563,0.7468716652866926,18.0,10.0,5.0,1.0,,,
XGBoost,200,0.05,0.8695338562798666,0.8709920944948317,0.8695338562798666,0.9479832431491653,0.7417731716598098,18.0,,,1.0,5.0,0.0,0.8
XGBoost,150,0.05,0.8691732034983319,0.870625594642148,0.8691732034983319,0.948039239128901,0.7389923362225085,18.0,,,1.0,5.0,0.1,0.8
XGBoost,150,0.05,0.8690830403029484,0.8704718585287922,0.8690830403029484,0.9477935192836279,0.7409237269964071,18.0,,,1.0,3.0,0.1,0.8
GradientBoosting,200,0.05,0.8689027139121811,0.8695501108632776,0.8689027139121811,0.9490906582163761,0.7507338203871731,18.0,7.0,5.0,1.0,,,
GradientBoosting,200,0.05,0.8689027139121811,0.8695501108632776,0.8689027139121811,0.9490906582163761,0.7507338203871731,18.0,10.0,5.0,1.0,,,
XGBoost,150,0.05,0.8687223875214137,0.8701150316927834,0.8687223875214137,0.9481966040996034,0.7396107650138838,18.0,,,1.0,3.0,0.0,0.8
XGBoost,200,0.05,0.8687223875214137,0.8700849572116617,0.8687223875214137,0.948118362604642,0.7435499373373697,18.0,,,1.0,3.0,0.0,0.8
XGBoost,200,0.05,0.8686322243260302,0.8701302178765261,0.8686322243260302,0.9472064728765431,0.7374475171387037,18.0,,,0.8,5.0,0.0,0.8
GradientBoosting,150,0.05,0.8686322243260302,0.8696514720263794,0.8686322243260302,0.9494526623275825,0.7507341246615842,16.0,7.0,5.0,1.0,,,
GradientBoosting,150,0.05,0.8686322243260302,0.8696514720263794,0.8686322243260302,0.9494526623275825,0.7507341246615842,16.0,10.0,5.0,1.0,,,
XGBoost,200,0.05,0.8673699395906591,0.8686700561873048,0.8673699395906591,0.9474254589043996,0.7373702672352661,18.0,,,0.8,3.0,0.0,0.8
XGBoost,150,0.05,0.8672797763952754,0.868616591076208,0.8672797763952754,0.947292867793825,0.7383748918483454,18.0,,,0.8,3.0,0.1,0.8
XGBoost,200,0.05,0.8667387972229735,0.8679570756260128,0.8667387972229735,0.9473120361761076,0.7410009053058656,18.0,,,0.8,3.0,0.1,0.8
GradientBoosting,150,0.05,0.8665584708322063,0.8674593675029196,0.8665584708322063,0.9487749090971809,0.7471803427275373,18.0,7.0,5.0,1.0,,,
GradientBoosting,150,0.05,0.8665584708322063,0.8674593675029196,0.8665584708322063,0.9487749090971809,0.7471803427275373,18.0,10.0,5.0,1.0,,,
XGBoost,150,0.05,0.8657470020737535,0.8674178329453763,0.8657470020737535,0.9470378577510039,0.7366753223787385,18.0,,,0.8,5.0,0.0,0.8
XGBoost,200,0.05,0.8656568388783699,0.8674125308370267,0.8656568388783699,0.9463325279215514,0.7465625045864893,18.0,,,1.0,5.0,0.1,1.0
XGBoost,150,0.05,0.8656568388783699,0.8671431905198218,0.8656568388783699,0.947130583330328,0.7335082016272595,18.0,,,0.8,3.0,0.0,0.8
XGBoost,200,0.05,0.8652961860968352,0.866987514899059,0.8652961860968352,0.9475792959519826,0.7409235122144698,18.0,,,0.8,5.0,0.1,0.8
XGBoost,150,0.05,0.8652060229014517,0.8670019225067805,0.8652060229014517,0.947065042358597,0.7391472476947634,18.0,,,0.8,5.0,0.1,0.8
XGBoost,150,0.05,0.8645748805337661,0.8662553031558475,0.8645748805337661,0.9455757100141273,0.7445541860820589,18.0,,,0.8,3.0,0.1,1.0
XGBoost,200,0.05,0.8644847173383825,0.8660908671948303,0.8644847173383825,0.9454956457588876,0.7466397723884217,18.0,,,0.8,3.0,0.0,1.0
XGBoost,200,0.05,0.8634929221891624,0.865236974335777,0.8634929221891624,0.9457357601263152,0.7441680439558395,18.0,,,0.8,5.0,0.0,1.0
XGBoost,200,0.05,0.8633125957983951,0.8650086814808687,0.8633125957983951,0.9458370703185638,0.7473349499253811,18.0,,,1.0,3.0,0.1,1.0
XGBoost,200,0.05,0.8633125957983951,0.8649071192311489,0.8633125957983951,0.9454058209163505,0.7437816512506931,18.0,,,1.0,3.0,0.0,1.0
XGBoost,200,0.05,0.8632224326030115,0.8649849654544449,0.8632224326030115,0.9460093309646594,0.7481845556752368,18.0,,,1.0,5.0,0.0,1.0
XGBoost,200,0.05,0.8629519430168605,0.8645609183007624,0.8629519430168605,0.9453216603503777,0.746485218886062,18.0,,,0.8,3.0,0.1,1.0
XGBoost,150,0.05,0.8626814534307096,0.8646491668356046,0.8626814534307096,0.9461574449369599,0.74370445504274,18.0,,,1.0,5.0,0.1,1.0
XGBoost,200,0.05,0.8624109638445586,0.8641080759858578,0.8624109638445586,0.9457465398914027,0.7436270977483336,18.0,,,0.8,5.0,0.1,1.0
XGBoost,150,0.05,0.8622306374537914,0.8640311054489775,0.8622306374537914,0.9454613661059098,0.7467941469058336,18.0,,,0.8,3.0,0.0,1.0
XGBoost,150,0.05,0.8621404742584077,0.8640270658033758,0.8621404742584077,0.9458143936127343,0.7451720779185912,18.0,,,1.0,5.0,0.0,1.0
XGBoost,150,0.05,0.8616896582814895,0.8635574559159551,0.8616896582814895,0.9459481018989635,0.7418505826497004,18.0,,,0.8,5.0,0.1,1.0
XGBoost,150,0.05,0.8611486791091876,0.8629734037731883,0.8611486791091876,0.9453485117652317,0.745712791445665,18.0,,,1.0,3.0,0.1,1.0
XGBoost,150,0.05,0.8606076999368858,0.8624090236783656,0.8606076999368858,0.944739063046338,0.7425456885926808,18.0,,,1.0,3.0,0.0,1.0
XGBoost,150,0.05,0.8601568839599676,0.862009900143337,0.8601568839599676,0.9456960317920753,0.7420051719490495,18.0,,,0.8,5.0,0.0,1.0
AdaBoost,200,0.05,0.7826165359300333,0.7870125470686999,0.7826165359300333,0.8383602056543984,0.2684228132782489,,,,,,,
